,MSZoning,Street,MSSubClass,LotArea,LandSlope,BldgType,HouseStyle,RoofStyle,RoofMatl,ExteriorComb,ExteriorCondComb,MasVnrType,MasVnrArea,Foundation,BsmtCondComb,TotalBsmtSF,LowQualFinSF,GrLivArea,BedroomAbvGr,TotRmsAbvGrd,KitchenAbvGr,KitchenQual,TotalBaths,1stFlrSF,2ndFlrSF,FireplaceComb,HeatingCOmb,CentralAir,TotalPorchArea,WoodDeckSF,GarageArea,PoolArea,Utilities,Electrical,MiscVal,SaleType,SaleCondition,OverallCondComb
0,10,2,60,8450,3,65,80,3,80,36,12,3,196.0,4,12,856,0,1710,3,8,1,4,2.5,856,854,0,15,1,61,0,548,0,4,6,0,10,6,35
1,10,2,20,9600,3,65,50,3,80,4,9,0,0.0,3,12,1262,0,1262,3,6,1,3,2.0,1262,0,3,15,1,0,298,460,0,4,6,0,10,6,48
2,10,2,60,11250,3,65,80,3,80,36,12,3,162.0,4,12,920,0,1786,3,6,1,4,2.5,920,866,3,15,1,42,0,608,0,4,6,0,10,6,35
3,10,2,70,9550,3,65,80,3,80,9,9,0,0.0,2,12,756,0,1717,3,7,1,4,1.0,961,756,4,12,1,307,0,642,0,4,6,0,10,1,35
4,10,2,60,14260,3,65,80,3,80,36,12,3,350.0,4,12,1145,0,2198,4,9,1,4,2.5,1145,1053,3,15,1,84,192,836,0,4,6,0,10,6,40
5,10,2,50,14115,3,65,75,3,80,36,9,0,0.0,1,12,796,0,1362,1,5,1,3,1.5,796,566,0,15,1,350,40,480,0,4,6,700,10,6,25
6,10,2,20,10084,3,65,50,3,80,36,12,5,186.0,4,15,1686,0,1694,3,7,1,4,2.0,1694,0,4,15,1,57,255,636,0,4,6,0,10,6,40
7,10,2,60,10382,3,65,80,3,80,12,9,5,240.0,3,12,1107,0,2090,3,7,1,3,2.5,1107,983,6,15,1,432,235,484,0,4,6,350,10,6,42
8,6,2,50,6120,3,65,75,3,80,13,9,0,0.0,2,9,952,0,1774,2,8,2,3,2.0,1022,752,6,12,1,205,90,468,0,4,3,0,10,1,35
9,10,2,190,7420,3,70,70,3,80,4,9,0,0.0,2,9,991,0,1077,2,5,2,3,1.0,1077,0,6,15,1,4,0,205,0,4,6,0,10,6,30
10,10,2,20,11200,3,65,50,5,80,12,9,0,0.0,3,9,1040,0,1040,3,5,1,3,1.0,1040,0,0,15,1,0,0,384,0,4,6,0,10,6,25
11,10,2,60,11924,3,65,80,5,80,10,15,5,286.0,4,15,1175,0,2324,4,11,1,5,3.0,1182,1142,8,15,1,21,147,736,0,4,6,0,7,2,45
12,10,2,20,12968,3,65,50,5,80,17,9,0,0.0,3,9,912,0,912,2,4,1,3,1.0,912,0,0,9,1,176,140,352,0,4,6,0,10,6,30
13,10,2,20,10652,3,65,50,3,80,36,12,5,306.0,4,12,1494,0,1494,3,7,1,4,2.0,1494,0,4,15,1,33,160,840,0,4,6,0,7,2,35
14,10,2,20,10920,3,65,50,5,80,4,9,3,212.0,3,9,1253,0,1253,2,5,1,3,1.5,1253,0,2,9,1,389,0,352,0,4,6,0,10,6,30
15,6,2,45,6120,3,65,70,3,80,8,9,0,0.0,2,9,832,0,854,2,5,1,3,1.0,854,0,0,15,1,112,48,576,0,4,4,0,10,6,56
16,10,2,20,11241,3,65,50,3,80,8,9,3,180.0,3,9,1004,0,1004,2,5,1,3,1.0,1004,0,3,15,1,0,0,480,0,4,6,700,10,6,42
17,10,2,90,10791,3,75,50,3,80,4,9,0,0.0,5,9,0,0,1296,2,6,2,3,2.0,1296,0,0,9,1,0,0,516,0,4,6,500,10,6,20
18,10,2,20,13695,3,65,50,3,80,36,9,0,0.0,4,9,1114,0,1114,3,6,1,4,1.5,1114,0,0,15,1,102,0,576,0,4,6,0,10,6,25
19,10,2,20,7560,3,65,50,5,80,19,9,0,0.0,3,9,1029,0,1339,3,6,1,3,1.0,1339,0,0,9,1,0,0,294,0,4,6,0,6,1,30
20,10,2,60,14215,3,65,80,3,80,36,12,3,380.0,4,15,1158,0,2376,4,9,1,4,3.5,1158,1218,4,15,1,154,240,853,0,4,6,0,7,2,40
21,6,2,45,7449,3,65,70,3,80,8,9,0,0.0,4,9,637,0,1108,3,6,1,4,1.0,1108,0,4,15,1,205,0,280,0,4,3,0,10,6,49
22,10,2,20,9742,3,65,50,5,80,36,12,3,281.0,4,12,1777,0,1795,3,7,1,4,2.0,1795,0,4,15,1,159,171,534,0,4,6,0,10,6,40
23,6,2,120,4224,3,85,50,3,80,20,9,0,0.0,4,12,1040,0,1060,3,6,1,3,1.0,1060,0,3,9,1,110,100,572,0,4,6,0,10,6,35
24,10,2,20,8246,3,65,50,3,80,22,12,0,0.0,3,9,1060,0,1060,3,6,1,4,1.0,1060,0,3,15,1,90,406,270,0,4,6,0,10,6,40
25,10,2,20,14230,3,65,50,3,80,36,12,5,640.0,4,12,1566,0,1600,3,7,1,4,2.0,1600,0,4,15,1,56,0,890,0,4,6,0,10,6,40
26,10,2,20,7200,3,65,50,3,80,8,9,0,0.0,3,9,900,0,900,3,5,1,4,1.0,900,0,0,9,1,32,222,576,0,4,6,0,10,6,35
27,10,2,20,11478,3,65,50,3,80,36,12,5,200.0,4,15,1704,0,1704,3,7,1,4,2.0,1704,0,4,15,1,50,0,772,0,4,6,0,10,6,40
28,10,2,20,16321,3,65,50,3,80,4,9,0,0.0,3,9,1484,0,1600,2,6,1,3,1.0,1600,0,8,9,1,258,288,319,0,4,6,0,10,6,30
29,6,2,30,6324,3,65,50,3,80,4,9,0,0.0,2,9,520,0,520,1,4,1,2,1.0,520,0,0,6,0,87,49,240,0,4,6,0,10,6,24
30,20,2,70,8500,3,65,80,2,80,16,6,0,0.0,2,9,649,0,1317,3,6,1,3,1.0,649,668,0,9,0,226,0,250,0,4,6,0,10,6,16
31,10,2,20,8544,3,65,50,3,80,12,9,0,0.0,3,9,1228,0,1228,3,6,1,4,1.5,1228,0,0,12,1,65,0,271,0,4,6,0,10,6,30
